Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 13:35:40,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527340,0,0,0,0,
2020/01/20 13:35:59,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527359,0,0,0,0,
2020/01/20 13:36:09,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527369,0,0,0,0,
2020/01/20 13:36:19,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527379,0,0,0,0,
2020/01/20 13:36:41,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527401,0,0,0,0,
2020/01/20 13:36:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579527411,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:05:18,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529118,0,0,0,0,
2020/01/20 14:05:28,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529128,0,0,0,0,
2020/01/20 14:05:38,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529138,0,0,0,0,
2020/01/20 14:05:57,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529157,0,0,0,0,
2020/01/20 14:06:07,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529167,0,0,0,0,
2020/01/20 14:06:15,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529175,0,0,0,0,
2020/01/20 14:06:25,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529185,0,0,0,0,
2020/01/20 14:06:36,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529196,0,0,0,0,
2020/01/20 14:06:46,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529206,0,0,0,0,
2020/01/20 14:06:56,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529216,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:07:28,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529248,0,0,0,0,
2020/01/20 14:07:38,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529258,0,0,0,0,
